ID,NAME,ACCOUNTID,TYPE,CLOSEDATE,STAGE,AMOUNT,STATUS
006Jb0000027z5IIAQ,11771,001Jb000002JdfiIAC,Existing Business,05/01/2021,Ganada,51912,Item Created
006Jb0000027z5JIAQ,11893,001Jb000002JdfqIAC,Existing Business,11/01/2021,Ganada,86520,Item Created
006Jb0000027z5KIAQ,11794,001Jb000002JdfwIAC,Existing Business,06/01/2021,Ganada,81104,Item Created
006Jb0000027z5LIAQ,11891,001Jb000002Jdg0IAC,Existing Business,11/01/2021,Ganada,218753,Item Created
006Jb0000027z5MIAQ,11807,001Jb000002Jdg2IAC,Existing Business,07/01/2021,Ganada,344352,Item Created
006Jb0000027z5NIAQ,11803,001Jb000002Jdg3IAC,Existing Business,06/01/2021,Ganada,94488,Item Created
006Jb0000027z5OIAQ,11888,001Jb000002JdgGIAS,Existing Business,11/01/2021,Ganada,823560,Item Created
006Jb0000027z5PIAQ,11702,001Jb000002JdgKIAS,Existing Business,04/01/2021,Ganada,88740,Item Created
006Jb0000027z5QIAQ,11890,001Jb000002JdgKIAS,Existing Business,11/01/2021,Ganada,54132,Item Created
006Jb0000027z5RIAQ,11688,001Jb000002JdglIAC,Existing Business,04/01/2021,Ganada,346080,Item Created
006Jb0000027z5SIAQ,11900,001Jb000002JdglIAC,Existing Business,11/01/2021,Ganada,85546,Item Created
006Jb0000027z5TIAQ,11901,001Jb000002JdglIAC,Existing Business,11/01/2021,Ganada,346080,Item Created
006Jb0000027z5UIAQ,11701,001Jb000002JdgrIAC,Existing Business,04/01/2021,Ganada,51912,Item Created
006Jb0000027z5VIAQ,11902,001Jb000002JdgsIAC,Existing Business,11/01/2021,Ganada,296388,Item Created
006Jb0000027z5WIAQ,11805,001Jb000002JdgTIAS,Existing Business,07/01/2021,Ganada,84480,Item Created
006Jb0000027z5XIAQ,11836,001Jb000002JdgWIAS,Existing Business,08/01/2021,Ganada,395592,Item Created
006Jb0000027z5YIAQ,11769,001Jb000002Jdh0IAC,Existing Business,05/01/2021,Ganada,120813,Item Created
006Jb0000027z5ZIAQ,11806,001Jb000002JdhGIAS,Existing Business,07/01/2021,Ganada,77868,Item Created
